iter: 1000, accuracy: 0.0236
iter: 2000, accuracy: 0.0264
iter: 3000, accuracy: 0.1271
iter: 4000, accuracy: 0.2758
iter: 5000, accuracy: 0.1535
iter: 6000, accuracy: 0.1343
iter: 7000, accuracy: 0.2339
iter: 8000, accuracy: 0.3348
iter: 9000, accuracy: 0.3239
iter: 10000, accuracy: 0.3440
iter: 11000, accuracy: 0.2913
iter: 12000, accuracy: 0.3023
iter: 13000, accuracy: 0.3545
iter: 14000, accuracy: 0.4205
iter: 15000, accuracy: 0.3637
iter: 16000, accuracy: 0.4889
iter: 17000, accuracy: 0.4285
iter: 18000, accuracy: 0.4482
iter: 19000, accuracy: 0.5152
iter: 20000, accuracy: 0.5616
iter: 21000, accuracy: 0.5636
iter: 22000, accuracy: 0.5762
iter: 23000, accuracy: 0.6529
iter: 24000, accuracy: 0.6528
iter: 25000, accuracy: 0.6573
iter: 26000, accuracy: 0.6477
iter: 27000, accuracy: 0.6527
iter: 28000, accuracy: 0.6472
iter: 29000, accuracy: 0.6434
iter: 30000, accuracy: 0.6435
