iter: 1000, accuracy: 0.0099
iter: 2000, accuracy: 0.0208
iter: 3000, accuracy: 0.0174
iter: 4000, accuracy: 0.0183
iter: 5000, accuracy: 0.1158
iter: 6000, accuracy: 0.2676
iter: 7000, accuracy: 0.3818
iter: 8000, accuracy: 0.3260
iter: 9000, accuracy: 0.3159
iter: 10000, accuracy: 0.4383
iter: 11000, accuracy: 0.2768
iter: 12000, accuracy: 0.3317
iter: 13000, accuracy: 0.3182
iter: 14000, accuracy: 0.3894
iter: 15000, accuracy: 0.3745
iter: 16000, accuracy: 0.4546
iter: 17000, accuracy: 0.4301
iter: 18000, accuracy: 0.4065
iter: 19000, accuracy: 0.4817
iter: 20000, accuracy: 0.5083
iter: 21000, accuracy: 0.5611
iter: 22000, accuracy: 0.5035
iter: 23000, accuracy: 0.6065
iter: 24000, accuracy: 0.6062
iter: 25000, accuracy: 0.6015
iter: 26000, accuracy: 0.5971
iter: 27000, accuracy: 0.5940
iter: 28000, accuracy: 0.5900
iter: 29000, accuracy: 0.5841
iter: 30000, accuracy: 0.5825
