iter: 1000, accuracy: 0.0429
iter: 2000, accuracy: 0.0326
iter: 3000, accuracy: 0.2832
iter: 4000, accuracy: 0.1885
iter: 5000, accuracy: 0.2730
iter: 6000, accuracy: 0.1824
iter: 7000, accuracy: 0.3432
iter: 8000, accuracy: 0.3429
iter: 9000, accuracy: 0.2905
iter: 10000, accuracy: 0.3593
iter: 11000, accuracy: 0.3922
iter: 12000, accuracy: 0.3771
iter: 13000, accuracy: 0.3056
iter: 14000, accuracy: 0.3854
iter: 15000, accuracy: 0.3380
iter: 16000, accuracy: 0.5552
iter: 17000, accuracy: 0.5068
iter: 18000, accuracy: 0.5296
iter: 19000, accuracy: 0.5466
iter: 20000, accuracy: 0.5523
iter: 21000, accuracy: 0.6165
iter: 22000, accuracy: 0.6146
iter: 23000, accuracy: 0.6815
iter: 24000, accuracy: 0.6853
iter: 25000, accuracy: 0.6892
iter: 26000, accuracy: 0.6933
iter: 27000, accuracy: 0.6879
iter: 28000, accuracy: 0.6883
iter: 29000, accuracy: 0.6896
iter: 30000, accuracy: 0.6902
