iter: 1000, accuracy: 0.0254
iter: 2000, accuracy: 0.0278
iter: 3000, accuracy: 0.0282
iter: 4000, accuracy: 0.0563
iter: 5000, accuracy: 0.0416
iter: 6000, accuracy: 0.0806
iter: 7000, accuracy: 0.0967
iter: 8000, accuracy: 0.0628
iter: 9000, accuracy: 0.0542
iter: 10000, accuracy: 0.1179
iter: 11000, accuracy: 0.1333
iter: 12000, accuracy: 0.0926
iter: 13000, accuracy: 0.1274
iter: 14000, accuracy: 0.0727
iter: 15000, accuracy: 0.1617
iter: 16000, accuracy: 0.1981
iter: 17000, accuracy: 0.1808
iter: 18000, accuracy: 0.1461
iter: 19000, accuracy: 0.2138
iter: 20000, accuracy: 0.2120
iter: 21000, accuracy: 0.2139
iter: 22000, accuracy: 0.2249
iter: 23000, accuracy: 0.2812
iter: 24000, accuracy: 0.2821
iter: 25000, accuracy: 0.2835
iter: 26000, accuracy: 0.2829
iter: 27000, accuracy: 0.2833
iter: 28000, accuracy: 0.2844
iter: 29000, accuracy: 0.2822
iter: 30000, accuracy: 0.2803
