iter: 1000, accuracy: 0.0171
iter: 2000, accuracy: 0.0107
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0101
iter: 5000, accuracy: 0.0137
iter: 6000, accuracy: 0.0100
iter: 7000, accuracy: 0.0162
iter: 8000, accuracy: 0.0100
iter: 9000, accuracy: 0.0139
iter: 10000, accuracy: 0.0100
iter: 11000, accuracy: 0.0117
iter: 12000, accuracy: 0.0159
iter: 13000, accuracy: 0.0131
iter: 14000, accuracy: 0.0141
iter: 15000, accuracy: 0.0194
iter: 16000, accuracy: 0.0271
iter: 17000, accuracy: 0.0176
iter: 18000, accuracy: 0.0225
iter: 19000, accuracy: 0.0291
iter: 20000, accuracy: 0.0238
iter: 21000, accuracy: 0.0274
iter: 22000, accuracy: 0.0357
iter: 23000, accuracy: 0.0424
iter: 24000, accuracy: 0.0433
iter: 25000, accuracy: 0.0435
iter: 26000, accuracy: 0.0436
iter: 27000, accuracy: 0.0425
iter: 28000, accuracy: 0.0449
iter: 29000, accuracy: 0.0449
iter: 30000, accuracy: 0.0446
