iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0100
iter: 6000, accuracy: 0.0099
iter: 7000, accuracy: 0.0603
iter: 8000, accuracy: 0.0703
iter: 9000, accuracy: 0.1306
iter: 10000, accuracy: 0.1185
iter: 11000, accuracy: 0.1531
iter: 12000, accuracy: 0.1330
iter: 13000, accuracy: 0.0853
iter: 14000, accuracy: 0.1456
iter: 15000, accuracy: 0.1310
iter: 16000, accuracy: 0.1906
iter: 17000, accuracy: 0.1665
iter: 18000, accuracy: 0.1558
iter: 19000, accuracy: 0.1652
iter: 20000, accuracy: 0.1668
iter: 21000, accuracy: 0.1830
iter: 22000, accuracy: 0.1894
iter: 23000, accuracy: 0.2381
iter: 24000, accuracy: 0.2433
iter: 25000, accuracy: 0.2462
iter: 26000, accuracy: 0.2458
iter: 27000, accuracy: 0.2455
iter: 28000, accuracy: 0.2460
iter: 29000, accuracy: 0.2454
iter: 30000, accuracy: 0.2441
