iter: 1000, accuracy: 0.0135
iter: 2000, accuracy: 0.0131
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0100
iter: 5000, accuracy: 0.0564
iter: 6000, accuracy: 0.1816
iter: 7000, accuracy: 0.2111
iter: 8000, accuracy: 0.2855
iter: 9000, accuracy: 0.3531
iter: 10000, accuracy: 0.3609
iter: 11000, accuracy: 0.2363
iter: 12000, accuracy: 0.3215
iter: 13000, accuracy: 0.3772
iter: 14000, accuracy: 0.2399
iter: 15000, accuracy: 0.3338
iter: 16000, accuracy: 0.4247
iter: 17000, accuracy: 0.3652
iter: 18000, accuracy: 0.3741
iter: 19000, accuracy: 0.4823
iter: 20000, accuracy: 0.4632
iter: 21000, accuracy: 0.4359
iter: 22000, accuracy: 0.4146
iter: 23000, accuracy: 0.5520
iter: 24000, accuracy: 0.5451
iter: 25000, accuracy: 0.5387
iter: 26000, accuracy: 0.5336
iter: 27000, accuracy: 0.5306
iter: 28000, accuracy: 0.5277
iter: 29000, accuracy: 0.5329
iter: 30000, accuracy: 0.5275
