iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0269
iter: 5000, accuracy: 0.0651
iter: 6000, accuracy: 0.1822
iter: 7000, accuracy: 0.2981
iter: 8000, accuracy: 0.2363
iter: 9000, accuracy: 0.3184
iter: 10000, accuracy: 0.2580
iter: 11000, accuracy: 0.3082
iter: 12000, accuracy: 0.2865
iter: 13000, accuracy: 0.2292
iter: 14000, accuracy: 0.2983
iter: 15000, accuracy: 0.3191
iter: 16000, accuracy: 0.4595
iter: 17000, accuracy: 0.3584
iter: 18000, accuracy: 0.3169
iter: 19000, accuracy: 0.4042
iter: 20000, accuracy: 0.4123
iter: 21000, accuracy: 0.4646
iter: 22000, accuracy: 0.4832
iter: 23000, accuracy: 0.6120
iter: 24000, accuracy: 0.6260
iter: 25000, accuracy: 0.6263
iter: 26000, accuracy: 0.6360
iter: 27000, accuracy: 0.6337
iter: 28000, accuracy: 0.6314
iter: 29000, accuracy: 0.6347
iter: 30000, accuracy: 0.6333
