iter: 1000, accuracy: 0.0158
iter: 2000, accuracy: 0.0104
iter: 3000, accuracy: 0.0240
iter: 4000, accuracy: 0.1887
iter: 5000, accuracy: 0.2742
iter: 6000, accuracy: 0.3143
iter: 7000, accuracy: 0.4407
iter: 8000, accuracy: 0.3543
iter: 9000, accuracy: 0.3247
iter: 10000, accuracy: 0.4303
iter: 11000, accuracy: 0.2499
iter: 12000, accuracy: 0.4154
iter: 13000, accuracy: 0.4347
iter: 14000, accuracy: 0.4524
iter: 15000, accuracy: 0.4381
iter: 16000, accuracy: 0.5562
iter: 17000, accuracy: 0.5409
iter: 18000, accuracy: 0.5681
iter: 19000, accuracy: 0.6240
iter: 20000, accuracy: 0.6286
iter: 21000, accuracy: 0.6205
iter: 22000, accuracy: 0.5889
iter: 23000, accuracy: 0.6985
iter: 24000, accuracy: 0.6984
iter: 25000, accuracy: 0.7014
iter: 26000, accuracy: 0.6980
iter: 27000, accuracy: 0.6981
iter: 28000, accuracy: 0.6940
iter: 29000, accuracy: 0.6933
iter: 30000, accuracy: 0.6938
