iter: 1000, accuracy: 0.0101
iter: 2000, accuracy: 0.0116
iter: 3000, accuracy: 0.0102
iter: 4000, accuracy: 0.0102
iter: 5000, accuracy: 0.0174
iter: 6000, accuracy: 0.1282
iter: 7000, accuracy: 0.2274
iter: 8000, accuracy: 0.2100
iter: 9000, accuracy: 0.2181
iter: 10000, accuracy: 0.1496
iter: 11000, accuracy: 0.1894
iter: 12000, accuracy: 0.2269
iter: 13000, accuracy: 0.1973
iter: 14000, accuracy: 0.2207
iter: 15000, accuracy: 0.1953
iter: 16000, accuracy: 0.3309
iter: 17000, accuracy: 0.3288
iter: 18000, accuracy: 0.3396
iter: 19000, accuracy: 0.2142
iter: 20000, accuracy: 0.2763
iter: 21000, accuracy: 0.2444
iter: 22000, accuracy: 0.2741
iter: 23000, accuracy: 0.4368
iter: 24000, accuracy: 0.4444
iter: 25000, accuracy: 0.4435
iter: 26000, accuracy: 0.4430
iter: 27000, accuracy: 0.4332
iter: 28000, accuracy: 0.4255
iter: 29000, accuracy: 0.4354
iter: 30000, accuracy: 0.4137
