iter: 1000, accuracy: 0.0508
iter: 2000, accuracy: 0.0538
iter: 3000, accuracy: 0.0664
iter: 4000, accuracy: 0.0887
iter: 5000, accuracy: 0.0719
iter: 6000, accuracy: 0.1201
iter: 7000, accuracy: 0.0261
iter: 8000, accuracy: 0.1397
iter: 9000, accuracy: 0.1209
iter: 10000, accuracy: 0.1208
iter: 11000, accuracy: 0.1214
iter: 12000, accuracy: 0.1502
iter: 13000, accuracy: 0.1357
iter: 14000, accuracy: 0.0995
iter: 15000, accuracy: 0.1274
iter: 16000, accuracy: 0.2019
iter: 17000, accuracy: 0.1780
iter: 18000, accuracy: 0.1726
iter: 19000, accuracy: 0.1813
iter: 20000, accuracy: 0.2027
iter: 21000, accuracy: 0.2205
iter: 22000, accuracy: 0.2322
iter: 23000, accuracy: 0.2612
iter: 24000, accuracy: 0.2690
iter: 25000, accuracy: 0.2681
iter: 26000, accuracy: 0.2675
iter: 27000, accuracy: 0.2699
iter: 28000, accuracy: 0.2665
iter: 29000, accuracy: 0.2672
iter: 30000, accuracy: 0.2677
