iter: 1000, accuracy: 0.0100
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0100
iter: 4000, accuracy: 0.0168
iter: 5000, accuracy: 0.0101
iter: 6000, accuracy: 0.0235
iter: 7000, accuracy: 0.1689
iter: 8000, accuracy: 0.2563
iter: 9000, accuracy: 0.1873
iter: 10000, accuracy: 0.2314
iter: 11000, accuracy: 0.2382
iter: 12000, accuracy: 0.2359
iter: 13000, accuracy: 0.2500
iter: 14000, accuracy: 0.2270
iter: 15000, accuracy: 0.2257
iter: 16000, accuracy: 0.3504
iter: 17000, accuracy: 0.2698
iter: 18000, accuracy: 0.2917
iter: 19000, accuracy: 0.3357
iter: 20000, accuracy: 0.3932
iter: 21000, accuracy: 0.3708
iter: 22000, accuracy: 0.3253
iter: 23000, accuracy: 0.4458
iter: 24000, accuracy: 0.4397
iter: 25000, accuracy: 0.4324
iter: 26000, accuracy: 0.4240
iter: 27000, accuracy: 0.4195
iter: 28000, accuracy: 0.4117
iter: 29000, accuracy: 0.4098
iter: 30000, accuracy: 0.4026
