iter: 1000, accuracy: 0.0116
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0112
iter: 4000, accuracy: 0.0165
iter: 5000, accuracy: 0.0272
iter: 6000, accuracy: 0.1326
iter: 7000, accuracy: 0.1416
iter: 8000, accuracy: 0.3066
iter: 9000, accuracy: 0.1810
iter: 10000, accuracy: 0.2926
iter: 11000, accuracy: 0.2397
iter: 12000, accuracy: 0.1813
iter: 13000, accuracy: 0.2643
iter: 14000, accuracy: 0.2919
iter: 15000, accuracy: 0.3160
iter: 16000, accuracy: 0.3443
iter: 17000, accuracy: 0.2452
iter: 18000, accuracy: 0.2847
iter: 19000, accuracy: 0.2934
iter: 20000, accuracy: 0.3802
iter: 21000, accuracy: 0.4371
iter: 22000, accuracy: 0.4478
iter: 23000, accuracy: 0.5621
iter: 24000, accuracy: 0.5744
iter: 25000, accuracy: 0.5813
iter: 26000, accuracy: 0.5864
iter: 27000, accuracy: 0.5856
iter: 28000, accuracy: 0.5862
iter: 29000, accuracy: 0.5840
iter: 30000, accuracy: 0.5842
