iter: 1000, accuracy: 0.0182
iter: 2000, accuracy: 0.0375
iter: 3000, accuracy: 0.0730
iter: 4000, accuracy: 0.0517
iter: 5000, accuracy: 0.0708
iter: 6000, accuracy: 0.0602
iter: 7000, accuracy: 0.1062
iter: 8000, accuracy: 0.1533
iter: 9000, accuracy: 0.1859
iter: 10000, accuracy: 0.1790
iter: 11000, accuracy: 0.1396
iter: 12000, accuracy: 0.1971
iter: 13000, accuracy: 0.2318
iter: 14000, accuracy: 0.2212
iter: 15000, accuracy: 0.1723
iter: 16000, accuracy: 0.3748
iter: 17000, accuracy: 0.2823
iter: 18000, accuracy: 0.2894
iter: 19000, accuracy: 0.3027
iter: 20000, accuracy: 0.3706
iter: 21000, accuracy: 0.3773
iter: 22000, accuracy: 0.4284
iter: 23000, accuracy: 0.4805
iter: 24000, accuracy: 0.4807
iter: 25000, accuracy: 0.4805
iter: 26000, accuracy: 0.4838
iter: 27000, accuracy: 0.4828
iter: 28000, accuracy: 0.4815
iter: 29000, accuracy: 0.4773
iter: 30000, accuracy: 0.4796
