iter: 1000, accuracy: 0.0173
iter: 2000, accuracy: 0.0100
iter: 3000, accuracy: 0.0193
iter: 4000, accuracy: 0.0282
iter: 5000, accuracy: 0.0240
iter: 6000, accuracy: 0.0145
iter: 7000, accuracy: 0.0125
iter: 8000, accuracy: 0.0110
iter: 9000, accuracy: 0.0100
iter: 10000, accuracy: 0.0106
iter: 11000, accuracy: 0.0139
iter: 12000, accuracy: 0.0175
iter: 13000, accuracy: 0.0352
iter: 14000, accuracy: 0.0102
iter: 15000, accuracy: 0.0329
iter: 16000, accuracy: 0.0205
iter: 17000, accuracy: 0.0275
iter: 18000, accuracy: 0.0384
iter: 19000, accuracy: 0.0418
iter: 20000, accuracy: 0.0439
iter: 21000, accuracy: 0.0542
iter: 22000, accuracy: 0.0626
iter: 23000, accuracy: 0.0641
iter: 24000, accuracy: 0.0701
iter: 25000, accuracy: 0.0697
iter: 26000, accuracy: 0.0714
iter: 27000, accuracy: 0.0705
iter: 28000, accuracy: 0.0677
iter: 29000, accuracy: 0.0753
iter: 30000, accuracy: 0.0723
