iter: 1000, accuracy: 0.0384
iter: 2000, accuracy: 0.0652
iter: 3000, accuracy: 0.0897
iter: 4000, accuracy: 0.0779
iter: 5000, accuracy: 0.0675
iter: 6000, accuracy: 0.0780
iter: 7000, accuracy: 0.1606
iter: 8000, accuracy: 0.1643
iter: 9000, accuracy: 0.2116
iter: 10000, accuracy: 0.2515
iter: 11000, accuracy: 0.2609
iter: 12000, accuracy: 0.2384
iter: 13000, accuracy: 0.2519
iter: 14000, accuracy: 0.3491
iter: 15000, accuracy: 0.3347
iter: 16000, accuracy: 0.3977
iter: 17000, accuracy: 0.3750
iter: 18000, accuracy: 0.3833
iter: 19000, accuracy: 0.3743
iter: 20000, accuracy: 0.4643
iter: 21000, accuracy: 0.4483
iter: 22000, accuracy: 0.5049
iter: 23000, accuracy: 0.5794
iter: 24000, accuracy: 0.5813
iter: 25000, accuracy: 0.5789
iter: 26000, accuracy: 0.5809
iter: 27000, accuracy: 0.5825
iter: 28000, accuracy: 0.5823
iter: 29000, accuracy: 0.5789
iter: 30000, accuracy: 0.5752
