iter: 1000, accuracy: 0.0166
iter: 2000, accuracy: 0.0111
iter: 3000, accuracy: 0.0265
iter: 4000, accuracy: 0.1399
iter: 5000, accuracy: 0.3128
iter: 6000, accuracy: 0.3035
iter: 7000, accuracy: 0.4548
iter: 8000, accuracy: 0.3032
iter: 9000, accuracy: 0.3724
iter: 10000, accuracy: 0.4282
iter: 11000, accuracy: 0.3127
iter: 12000, accuracy: 0.3471
iter: 13000, accuracy: 0.3303
iter: 14000, accuracy: 0.3661
iter: 15000, accuracy: 0.4641
iter: 16000, accuracy: 0.5665
iter: 17000, accuracy: 0.5479
iter: 18000, accuracy: 0.5970
iter: 19000, accuracy: 0.5738
iter: 20000, accuracy: 0.5816
iter: 21000, accuracy: 0.6066
iter: 22000, accuracy: 0.5327
iter: 23000, accuracy: 0.6822
iter: 24000, accuracy: 0.6883
iter: 25000, accuracy: 0.6914
iter: 26000, accuracy: 0.6881
iter: 27000, accuracy: 0.6875
iter: 28000, accuracy: 0.6864
iter: 29000, accuracy: 0.6818
iter: 30000, accuracy: 0.6826
