iter: 1000, accuracy: 0.0295
iter: 2000, accuracy: 0.0230
iter: 3000, accuracy: 0.0235
iter: 4000, accuracy: 0.0658
iter: 5000, accuracy: 0.0850
iter: 6000, accuracy: 0.0473
iter: 7000, accuracy: 0.0161
iter: 8000, accuracy: 0.0796
iter: 9000, accuracy: 0.0961
iter: 10000, accuracy: 0.1187
iter: 11000, accuracy: 0.1085
iter: 12000, accuracy: 0.1359
iter: 13000, accuracy: 0.1017
iter: 14000, accuracy: 0.1426
iter: 15000, accuracy: 0.1422
iter: 16000, accuracy: 0.1817
iter: 17000, accuracy: 0.1768
iter: 18000, accuracy: 0.1597
iter: 19000, accuracy: 0.1902
iter: 20000, accuracy: 0.2090
iter: 21000, accuracy: 0.2228
iter: 22000, accuracy: 0.2091
iter: 23000, accuracy: 0.2505
iter: 24000, accuracy: 0.2578
iter: 25000, accuracy: 0.2570
iter: 26000, accuracy: 0.2574
iter: 27000, accuracy: 0.2571
iter: 28000, accuracy: 0.2550
iter: 29000, accuracy: 0.2544
iter: 30000, accuracy: 0.2532
